# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=2
# stan_version_patch=0
# init=random
# seed=944846690
# chain_id=1
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-15.5569,0.8346,0.248988,4,15,0,0.0307765,0.89361,-0.368776,0.837045,0.434776,0.474272,-1.22793,0.411495,0.885356
-15.9333,0.854368,0.276443,4,15,0,0.140231,1.39184,-0.567621,0.868922,0.808381,-0.215741,-0.522713,0.265787,1.49441
-17.2024,0.49457,0.320801,4,15,0,-0.0941017,1.44071,1.02204,1.04856,0.952065,-0.244969,0.755167,-0.185605,1.51298
-17.8397,0.96799,0.162615,4,15,0,0.0473395,1.14533,0.690671,1.00761,1.42903,-0.825648,1.50978,-1.06292,1.55749
-16.8548,0.276461,0.244866,4,15,0,0.515927,1.31855,-1.16441,0.343789,0.864436,-1.30388,0.557644,0.3278,0.747321
-14.23,0.997672,0.0764502,5,31,0,-0.00929771,1.2204,-0.447958,0.0132401,1.16302,-0.233119,0.228245,-0.193553,0.318601
-16.7199,0.93152,0.123001,5,31,0,-0.134878,0.953757,-1.02656,0.861526,-1.38218,-0.310613,1.15352,0.607454,0.583586
-16.8077,0.972654,0.16963,4,15,0,-0.236577,1.30898,0.0883602,0.571388,-1.22136,0.663813,-0.120938,1.69806,0.522792
-17.2174,0.738378,0.255346,4,15,0,0.576859,1.16488,-0.650047,0.237112,0.372562,-0.403955,0.628242,1.94898,0.503369
-16.4068,0.9757,0.227723,4,15,0,0.0350417,1.37253,0.57912,-0.154499,-0.330394,0.312815,-0.717697,-1.7443,0.161585
-16.4068,0.00708814,0.342751,4,15,0,0.0350417,1.37253,0.57912,-0.154499,-0.330394,0.312815,-0.717697,-1.7443,0.161585
-17.3361,0.999187,0.0617087,5,31,0,-0.136907,1.35503,-0.177029,0.13972,0.360943,0.4824,-0.590369,-2.08067,0.114592
-18.114,0.979961,0.0979997,5,31,0,0.42872,1.28996,-0.536735,0.106013,-0.216003,-0.431691,0.97493,2.47323,0.879832
-17.1809,0.98092,0.148488,5,31,0,0.310468,0.874473,1.7687,0.138408,1.08364,0.488506,-0.164544,0.669055,0.664675
-16.4618,0.633776,0.224365,4,15,0,-0.192009,0.900199,-0.377282,-0.390197,-0.987846,-0.163018,-0.892518,-0.378988,0.147126
-19.7292,1,0.160638,4,15,0,-0.319963,1.33552,-1.66354,1.23891,-0.482772,1.45236,0.206052,-0.259345,0.0371187
-16.2055,0.578106,0.25145,4,15,0,0.359212,1.34471,-0.444067,-0.303629,-0.794907,0.719871,0.426467,1.09147,0.114509
-17.7069,0.971156,0.160494,5,31,0,0.303154,0.916635,0.814243,0.263994,0.942198,0.795371,-0.762378,0.509629,0.0246214
-18.2282,0.0537696,0.235239,3,7,0,-0.265792,1.43279,0.817166,0.388031,1.04236,0.315727,-0.79239,0.591983,0.0296744
-17.3945,0.98499,0.0503946,6,63,0,-0.0665871,0.816612,-0.396904,-1.5166,-0.528595,0.24485,0.856722,0.76732,0.522902
-20.3115,0.997777,0.0761637,5,31,0,0.393241,1.53346,0.31146,-1.14748,-2.43444,-1.12655,0.459746,1.19686,0.399432
-17.8148,0.992217,0.117669,5,31,0,0.0803618,1.61834,1.35113,-0.563297,-0.298552,-0.54434,0.158831,-1.49295,0.324353
-16.2706,0.942206,0.178887,4,15,0,0.454487,1.47969,-0.630039,0.10476,0.0271474,0.677952,0.37581,1.03259,0.876821
-16.8573,0.613845,0.244394,2,3,0,0.0276343,1.6566,-0.45805,0.0738491,-0.133887,0.839605,0.338773,1.05555,0.841663
