# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=1562551564
# chain_id=4
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-16.9098,0.997805,0.17264,4,0,-0.0589466,1.02903,-0.00240876,-1.57562,0.40462,0.259584,-2.03514,0.631101,0.514287
-14.4652,0.998866,0.495972,2,0,0.147958,0.942146,0.535845,0.224104,-0.519142,0.0156978,0.790985,-0.448228,0.203696
-14.4652,6.81948e-05,1.47204,1,0,0.147958,0.942146,0.535845,0.224104,-0.519142,0.0156978,0.790985,-0.448228,0.203696
# Adaptation terminated
# Step size = 0.62864
# Diagonal elements of inverse mass matrix:
# 0.0659295, 0.0131705, 0.524007, 0.402238, 0.627933, 0.905336, 0.760729, 0.862823, 1.65701
-14.4652,0.723351,0.62864,0,0,0.147958,0.942146,0.535845,0.224104,-0.519142,0.0156978,0.790985,-0.448228,0.203696
-16.9892,0.84329,0.62864,2,0,0.311401,1.34411,-0.535227,-0.121648,-0.0203759,0.417943,0.93507,0.732479,2.30127
-25.4429,0.972552,0.62864,2,0,-0.28595,1.98327,-0.0291178,-0.167008,0.231321,-3.11673,-0.784738,-0.848744,0.036429
-18.8258,0.930022,0.62864,2,0,0.353551,1.61173,0.765841,0.101888,-1.43283,-1.61375,-0.774901,0.0819562,0.188493
-17.2708,0.933469,0.62864,2,0,-0.0869589,1.01193,-2.10442,0.0159718,1.01555,0.0959353,1.18985,0.164774,0.179207
-17.3434,0.954369,0.62864,1,0,-0.128949,1.29348,0.206149,-1.01567,1.17089,0.352455,-0.589406,1.27138,0.0579793
-17.3636,0.937611,0.62864,2,0,0.109849,1.30655,-0.0853402,-1.03327,0.69665,0.465441,-1.04002,1.55402,1.70173
-17.3636,0.00199958,0.62864,1,0,0.109849,1.30655,-0.0853402,-1.03327,0.69665,0.465441,-1.04002,1.55402,1.70173
-19.5861,0.120377,0.62864,2,0,-0.0119906,1.4415,-0.201484,-0.691683,1.81873,-0.87108,0.893581,0.990699,0.0237448
-18.135,1,0.62864,2,0,-0.0641445,1.29541,-0.572752,-0.599464,1.47544,-0.826983,0.192872,0.728492,0.0169938
-19.8425,0.951673,0.62864,2,0,0.337531,0.824987,0.903752,0.602053,-1.24861,0.33091,-0.214285,-1.10137,0.0211627
-21.0752,0.993245,0.62864,1,0,0.200381,0.806159,0.871589,0.896021,-1.94672,0.44006,0.663263,-1.24676,0.0250336
-18.3329,0.849579,0.62864,2,0,0.110503,1.4202,-0.985101,-0.723423,1.53758,0.771271,-1.61394,1.15025,0.416278
-17.6823,0.89113,0.62864,2,0,0.0941066,0.895365,1.43996,-0.134015,-0.525147,-0.415478,1.52887,-1.44328,0.178234
-19.4635,0.84826,0.62864,2,0,0.248116,0.966877,1.54319,0.185241,-0.808744,-0.0205245,2.289,-1.00985,0.0561636
-21.0115,0.953953,0.62864,2,0,0.0398918,0.881172,-1.90028,-1.06326,0.10976,-0.326089,-1.52789,1.87787,2.0146
-17.7143,1,0.62864,2,0,0.0482092,0.968288,-0.518916,0.166986,-1.3091,0.146148,1.06342,-1.66265,0.0469724
-15.037,0.956339,0.62864,2,0,0.143138,0.965139,-0.713624,0.62192,0.753863,-0.400925,0.15914,1.29095,0.729469
-15.6447,0.966697,0.62864,2,0,0.136539,1.02308,-1.30259,-0.0224849,1.05729,-0.368098,-0.438823,1.41848,0.519767
-19.8254,0.749958,0.62864,2,0,-0.237951,1.76884,1.62026,0.203639,-0.806729,1.28538,0.331048,-1.06643,0.447016
-19.8254,0.628269,0.62864,1,0,-0.237951,1.76884,1.62026,0.203639,-0.806729,1.28538,0.331048,-1.06643,0.447016
-18.6462,0.998212,0.62864,2,0,-0.0241287,1.74164,1.41084,0.421363,-0.713675,0.674057,0.124847,-1.1675,0.862263
-17.5571,0.96738,0.62864,2,0,-0.0849166,1.7887,-0.245032,1.07919,0.134076,-0.524927,0.186444,0.334506,0.28098
-23.3154,0.745046,0.62864,1,0,0.105596,1.84953,-0.574973,3.0795,-0.825324,-0.718919,-0.70405,-0.852345,0.203374
-21.3219,0.84308,0.62864,2,0,-0.0309485,1.29917,-0.0279628,1.98181,1.23081,-3.1432,0.110195,0.259969,0.466079
-21.9324,0.80834,0.62864,1,0,0.610037,1.17603,-1.34086,2.14441,1.29098,-2.38188,-0.353663,-0.210953,0.605536
-18.6126,0.972834,0.62864,1,0,0.304623,1.11669,-0.47546,1.5244,1.78144,-1.61657,-0.991945,-0.305201,0.134274
-18.6851,0.963074,0.62864,2,0,-0.136419,1.0557,1.39513,-1.41672,-2.03672,1.40452,0.308962,-0.322171,0.363431
-18.7244,0.960313,0.62864,2,0,0.343075,1.08352,1.14705,-1.35639,2.20896,-0.818229,-0.0266868,1.21684,0.270952
-16.0087,0.994337,0.62864,2,0,0.0355998,1.11401,-1.22143,1.30044,-0.910995,1.03874,-0.777802,-0.485466,0.407378
-15.2169,0.9566,0.62864,1,0,0.0920283,1.16704,0.325195,-0.707998,-0.883518,0.447842,-0.413721,-1.37487,0.197394
-14.9023,0.978599,0.62864,2,0,-0.00836049,1.10551,-0.145304,0.225518,-0.114179,0.942346,-0.77254,1.24918,0.948276
-14.4335,0.916067,0.62864,2,0,-0.0873607,1.14532,0.0253979,-0.490445,0.512576,0.044039,0.0650634,1.31474,0.598272
-15.4866,0.978672,0.62864,2,0,0.248614,1.03865,-0.130877,-0.110717,-0.218539,-1.65355,-0.00606685,-1.21892,0.296672
-16.3058,0.912829,0.62864,2,0,0.433701,1.07708,0.195817,0.047704,0.390701,1.09128,-0.52517,1.74179,0.621722
-17.07,0.947913,0.62864,2,0,-0.0235688,1.17508,0.308978,-0.150153,-0.187401,-1.1739,0.660041,-2.13307,0.128843
-16.5472,0.992915,0.62864,2,0,0.254583,1.13932,-1.75978,1.11099,-0.116211,0.66104,0.0168994,0.823275,1.27926
-16.6226,0.920634,0.62864,2,0,-0.194756,1.01583,0.627081,1.96713,-0.669354,-0.796443,0.122471,-0.0103695,0.405412
-16.8716,0.883944,0.62864,2,0,0.597206,1.30136,0.508283,-0.208943,1.53173,-0.295666,0.557368,-0.496811,0.225433
-18.5985,0.943838,0.62864,2,0,-0.44831,1.13591,-0.402099,0.277882,-1.71423,1.11538,-0.785396,-1.1626,0.356033
-16.3388,0.947448,0.62864,1,0,-0.262713,1.24453,0.0666843,0.259942,-1.10233,0.932841,-1.34209,-0.189531,0.877484
-17.4221,0.963776,0.62864,2,0,0.0545763,1.38881,0.430605,-1.20564,2.17641,0.280545,-0.0614305,-0.510982,0.311255
-17.6714,0.997497,0.62864,2,0,0.125642,0.979609,-0.79243,1.57206,-2.23202,0.699167,0.0268167,0.316798,0.791106
-18.4999,0.743332,0.62864,1,0,-0.0360093,0.923727,-1.66716,1.43369,-1.49594,0.214148,-0.0853689,1.49664,0.658245
-17.6857,0.978551,0.62864,2,0,0.137411,0.799268,-1.49311,0.20912,-1.10797,-0.773961,-0.106791,-0.525143,0.913891
-20.3739,0.558153,0.62864,2,0,0.241668,1.21132,-1.8646,-0.772244,1.08657,-1.07067,1.62075,0.910335,0.0229193
-18.9936,0.621677,0.62864,2,0,0.145634,1.13956,-1.81742,-0.514954,0.840763,-0.706802,1.05377,0.376351,0.00984141
-18.1475,0.687366,0.62864,1,0,-0.220578,1.32049,-0.591583,-0.189976,1.73613,0.356532,1.04442,0.375152,0.0419149
-19.2244,0.806266,0.62864,1,0,-0.0733883,1.24606,-1.05389,-0.288539,2.14202,0.280914,1.07746,-0.393344,0.022645
-18.8736,0.777461,0.62864,2,0,0.278255,0.93051,-0.142941,1.42042,-2.35972,-0.597727,-0.920735,0.507099,1.15708
-16.8829,1,0.62864,2,0,0.100424,1.03175,-0.272494,1.33447,-1.49401,-0.0180954,0.870722,-1.61881,0.296747
-16.1631,0.981955,0.62864,2,0,0.0535428,0.874819,-1.33933,1.07288,0.605149,-0.0926902,-0.128352,-0.734722,0.271356
-16.5457,0.989042,0.62864,2,0,0.222181,1.35542,1.46591,-1.24212,-0.638508,-0.507367,0.230833,0.447552,0.180623
-15.6256,0.988096,0.62864,2,0,0.244425,1.193,-0.465369,1.4935,-1.14217,0.0484866,-0.347169,-0.530777,0.96556
-18.2099,0.948616,0.62864,2,0,-0.0427735,1.26083,-1.38576,0.652674,-1.87238,-1.28802,0.0590856,-1.29787,0.290168
-17.4982,1,0.62864,2,0,0.0365274,1.05733,1.15854,-0.591491,1.70965,0.707348,0.0224046,1.68124,0.151861
-17.2219,0.992073,0.62864,2,0,0.119396,1.13162,-0.223149,0.0850446,-1.99101,-0.394493,0.0149441,-1.48426,0.0771641
-16.2763,0.920949,0.62864,2,0,0.0734375,1.11915,-0.177926,0.502181,1.426,0.133234,0.201928,1.47132,0.0786183
-14.2395,0.887273,0.62864,2,0,0.371047,1.11586,-0.777787,-0.385198,-0.161034,0.147233,0.356429,-0.225133,0.259148
-16.1486,0.619531,0.62864,2,0,0.426713,1.22179,-0.989044,-0.353012,0.374072,0.585196,1.11422,0.132348,1.42329
-14.427,0.401479,0.62864,1,0,0.15177,1.08328,-0.432932,0.0327624,1.28522,0.549255,0.33567,0.677106,0.335239
-16.4526,0.905129,0.62864,2,0,0.122299,0.87962,-0.346954,-0.210901,-1.59181,-1.36532,-0.272162,-0.525573,0.552835
-20.018,0.685912,0.62864,2,0,0.22159,1.15246,-1.81194,1.75455,0.768812,-0.947895,-1.23924,-0.0351664,0.0218005
-20.622,0.824276,0.62864,2,0,-0.0205478,0.888371,0.412113,-1.92107,0.0855418,-1.64997,1.42473,-0.0129578,2.40371
-17.9886,0.98875,0.62864,2,0,0.193207,1.34777,-0.480819,0.341445,0.430989,1.35665,-1.51681,-0.0714609,0.0304663
-17.3387,0.847387,0.62864,1,0,0.676134,1.32834,-1.03539,0.63688,0.417867,0.510295,-0.420579,0.457661,0.12003
-21.5886,0.929903,0.62864,2,0,-0.0376168,1.88721,1.93671,-1.43935,-0.433985,-1.12788,0.4189,-1.07883,0.7184
-19.1648,0.951859,0.62864,2,0,0.25411,0.891631,-1.71523,1.38358,0.165897,1.99397,-0.997845,0.380351,0.410646
-16.9787,0.986782,0.62864,2,0,-0.0931776,1.06759,-1.20588,0.375923,-0.828954,2.04471,0.346872,0.859222,0.525362
-19.8541,0.768248,0.62864,2,0,0.335293,0.890691,1.12688,0.786431,-0.060788,1.55911,-2.318,-0.410905,0.183791
-17.4786,1,0.62864,2,0,-0.0878535,1.44022,-0.880477,-1.8025,-0.364175,0.379923,1.32641,-0.258344,0.461591
-15.1417,0.982784,0.62864,1,0,0.413406,0.982213,-0.74497,-0.877572,-0.264751,-0.0770141,0.568591,0.371071,0.554243
-15.1417,0.706301,0.62864,2,0,0.413406,0.982213,-0.74497,-0.877572,-0.264751,-0.0770141,0.568591,0.371071,0.554243
-17.2338,0.894184,0.62864,2,0,0.310289,1.01465,-1.80286,-0.983282,-0.950476,0.667179,-0.411592,-1.01222,1.04455
-17.8332,0.919305,0.62864,2,0,-0.39599,1.07101,-0.0370551,-0.925631,1.92456,0.344922,-0.0044086,-0.0869067,0.188834
-17.5925,0.968459,0.62864,1,0,-0.0373049,1.29284,0.695092,-1.15066,2.40392,-0.157086,-0.574456,-0.178756,0.547708
-19.2439,0.957079,0.62864,2,0,0.199771,0.924466,-1.41532,1.255,-2.54049,-0.323516,0.481383,-0.0644547,0.176421
-18.7544,1,0.62864,2,0,0.18115,0.931643,-0.681906,0.887878,-2.80582,0.182935,-0.00826894,-0.109768,0.130997
-17.2333,1,0.62864,2,0,0.0230071,1.12628,-0.829218,-0.133743,1.8694,1.56192,0.236508,0.772595,1.21231
-18.1531,0.760784,0.62864,2,0,0.674664,1.46513,-0.9699,-0.0435304,-0.294684,0.735355,0.959167,-0.236411,0.0828294
-18.9049,0.900116,0.62864,2,0,-0.293414,1.4912,1.33499,-0.232967,0.439216,0.0706354,-1.12377,0.333691,2.22744
-18.137,0.446788,0.62864,2,0,0.431901,1.07363,-0.997672,0.417848,-0.716382,-0.208469,0.203726,0.171042,0.00682471
-18.4545,0.97582,0.62864,2,0,-0.222461,1.04717,1.44491,-1.28607,0.914987,0.230903,-0.796004,0.377245,0.0328531
-16.7535,0.972522,0.62864,1,0,-0.281314,1.0871,0.921881,-0.751256,0.3622,0.171981,0.620803,1.08598,0.0823857
-18.2112,0.937205,0.62864,2,0,0.239018,1.19278,0.578792,1.33348,-0.11245,-1.55201,-0.246987,-1.47422,0.0418835
-20.8557,0.892673,0.62864,2,0,0.252728,1.266,0.461306,0.777976,-0.383928,-2.11676,-1.44134,-2.16755,0.0610094
-16.5228,1,0.62864,1,0,0.160867,1.32779,-0.664242,0.598165,-0.707243,-1.01081,0.530192,0.138121,0.0426908
-14.4623,0.948564,0.62864,2,0,-0.0633065,1.14558,-0.437796,-0.585849,0.383941,0.592357,0.672021,0.96266,0.398625
-15.8867,0.937022,0.62864,2,0,0.242787,0.919308,-0.497806,1.01688,-0.837227,0.637158,-0.582679,-1.1458,0.649559
-17.0042,0.829878,0.62864,2,0,0.322497,1.34498,0.530112,-0.143484,1.35141,-0.874988,-1.05875,-0.340421,1.52807
-16.077,0.988434,0.62864,1,0,0.286546,1.04956,-0.452982,0.803047,1.5587,0.666979,0.0623924,-1.27235,0.318865
-18.7531,0.84219,0.62864,1,0,0.522659,0.919088,-1.38569,0.153382,0.423305,0.752695,1.109,-0.573804,1.52313
