# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=2
# stan_version_patch=0
# init=random
# seed=944846690
# chain_id=1
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-15.5569,0.8346,0.248988,4,15,0,0.0307765,0.89361,-0.368776,0.837045,0.434776,0.474272,-1.22793,0.411495,0.885356
-15.9333,0.854368,0.276443,4,15,0,0.140231,1.39184,-0.567621,0.868922,0.808381,-0.215741,-0.522713,0.265787,1.49441
-17.2024,0.49457,0.320801,4,15,0,-0.0941017,1.44071,1.02204,1.04856,0.952065,-0.244969,0.755167,-0.185605,1.51298
-17.8397,0.96799,0.162615,4,15,0,0.0473395,1.14533,0.690671,1.00761,1.42903,-0.825648,1.50978,-1.06292,1.55749
-16.8548,0.276461,0.244866,4,15,0,0.515927,1.31855,-1.16441,0.343789,0.864436,-1.30388,0.557644,0.3278,0.747321
-14.23,0.997672,0.0764502,5,31,0,-0.00929771,1.2204,-0.447958,0.0132401,1.16302,-0.233119,0.228245,-0.193553,0.318601
-16.7199,0.93152,0.123001,5,31,0,-0.134878,0.953757,-1.02656,0.861526,-1.38218,-0.310613,1.15352,0.607454,0.583586
-16.8077,0.972654,0.16963,4,15,0,-0.236577,1.30898,0.0883602,0.571388,-1.22136,0.663813,-0.120938,1.69806,0.522792
-17.2174,0.738378,0.255346,4,15,0,0.576859,1.16488,-0.650047,0.237112,0.372562,-0.403955,0.628242,1.94898,0.503369
-16.4068,0.9757,0.227723,4,15,0,0.0350417,1.37253,0.57912,-0.154499,-0.330394,0.312815,-0.717697,-1.7443,0.161585
-16.4068,0.00708814,0.342751,4,15,0,0.0350417,1.37253,0.57912,-0.154499,-0.330394,0.312815,-0.717697,-1.7443,0.161585
-17.3361,0.999187,0.0617087,5,31,0,-0.136907,1.35503,-0.177029,0.13972,0.360943,0.4824,-0.590369,-2.08067,0.114592
-18.114,0.979961,0.0979997,5,31,0,0.42872,1.28996,-0.536735,0.106013,-0.216003,-0.431691,0.97493,2.47323,0.879832
-17.1809,0.98092,0.148488,5,31,0,0.310468,0.874473,1.7687,0.138408,1.08364,0.488506,-0.164544,0.669055,0.664675
-16.4618,0.633776,0.224365,4,15,0,-0.192009,0.900199,-0.377282,-0.390197,-0.987846,-0.163018,-0.892518,-0.378988,0.147126
-19.7292,1,0.160638,4,15,0,-0.319963,1.33552,-1.66354,1.23891,-0.482772,1.45236,0.206052,-0.259345,0.0371187
-16.2055,0.578106,0.25145,4,15,0,0.359212,1.34471,-0.444067,-0.303629,-0.794907,0.719871,0.426467,1.09147,0.114509
-17.7069,0.971156,0.160494,5,31,0,0.303154,0.916635,0.814243,0.263994,0.942198,0.795371,-0.762378,0.509629,0.0246214
-18.2282,0.0537696,0.235239,3,7,0,-0.265792,1.43279,0.817166,0.388031,1.04236,0.315727,-0.79239,0.591983,0.0296744
-17.3945,0.98499,0.0503946,6,63,0,-0.0665871,0.816612,-0.396904,-1.5166,-0.528595,0.24485,0.856722,0.76732,0.522902
-20.3115,0.997777,0.0761637,5,31,0,0.393241,1.53346,0.31146,-1.14748,-2.43444,-1.12655,0.459746,1.19686,0.399432
-17.8148,0.992217,0.117669,5,31,0,0.0803618,1.61834,1.35113,-0.563297,-0.298552,-0.54434,0.158831,-1.49295,0.324353
-16.2706,0.942206,0.178887,4,15,0,0.454487,1.47969,-0.630039,0.10476,0.0271474,0.677952,0.37581,1.03259,0.876821
-16.8573,0.613845,0.244394,2,3,0,0.0276343,1.6566,-0.45805,0.0738491,-0.133887,0.839605,0.338773,1.05555,0.841663
-15.8808,0.970032,0.170446,5,31,0,-0.0857178,1.3221,0.485657,-0.244461,0.195074,-0.927839,-0.320499,-0.975202,0.0854341
-18.8869,0.642666,0.24561,4,15,0,0.386774,1.38086,0.00250177,1.07214,-0.421957,-1.04924,-0.441029,-2.53481,0.401486
-17.3013,0.992012,0.182171,5,31,0,0.0365023,1.11334,-0.632138,-0.962636,-1.15072,0.619143,0.0908621,2.33874,0.618024
-19.7017,0.12165,0.27321,4,9,0,-0.00552602,0.789791,-1.17077,0.453089,-0.0640744,0.259713,-1.04429,2.20451,0.965473
-21.0661,0.972112,0.0717397,5,31,0,0.27832,0.934409,-0.558512,0.823455,-1.52752,-0.265262,-1.8521,2.71494,0.80822
-20.6267,0.966832,0.103461,5,31,0,0.258732,0.847561,-1.7861,-1.62908,-1.56767,-0.831348,1.18069,-0.133996,1.32407
-19.656,0.987363,0.147121,5,31,0,-0.0671074,1.54469,-0.885273,-1.01962,-0.969551,-1.29339,1.83097,-0.569391,1.27349
-19.295,0.876956,0.217081,4,15,0,0.273722,1.07552,-0.963937,-0.880499,-1.84271,-0.0986908,1.31519,-0.86947,2.41753
-16.7969,0.306359,0.25703,3,7,0,-0.245839,1.21846,-0.833106,-1.73856,-0.146535,0.709175,0.877037,-0.678938,0.36463
-14.8263,0.996558,0.0998602,5,23,0,0.48948,1.07714,0.240348,-0.255364,0.0771053,-0.7304,0.0695514,0.547453,0.699169
-17.0331,0.968142,0.149414,4,11,0,0.458845,1.3803,0.473234,-0.0637943,-0.231243,-0.858247,0.0717308,1.32137,1.6221
-18.0733,0.929629,0.210811,4,15,0,0.0252543,1.2973,1.8703,0.0659598,1.44616,-1.46352,-1.1148,-0.288153,0.529734
-17.6189,0.949835,0.275312,4,15,0,0.210459,1.07431,-1.15621,-0.413805,-2.15004,1.1819,-0.0229888,-0.381306,0.115332
-17.6189,0.106649,0.372799,3,7,0,0.210459,1.07431,-1.15621,-0.413805,-2.15004,1.1819,-0.0229888,-0.381306,0.115332
-15.8031,0.998156,0.100926,5,31,0,-0.0603651,1.14585,-0.992649,-0.201084,-1.26541,0.494707,-0.413138,-1.04547,0.148792
-15.6135,0.994528,0.15003,5,31,0,0.151785,1.02789,0.816455,-0.245108,1.28642,-0.975001,0.157236,0.875304,1.16549
-17.6729,0.900607,0.220707,4,15,0,0.231697,0.995009,-1.33317,1.46639,1.14021,-1.53877,0.685513,-0.806873,0.519579
-14.8001,1,0.27117,3,7,0,0.281782,1.20163,-0.75521,1.0335,-0.697023,0.148397,-0.267073,0.197275,0.984594
-14.8001,0.249663,0.400582,2,3,0,0.281782,1.20163,-0.75521,1.0335,-0.697023,0.148397,-0.267073,0.197275,0.984594
-15.1423,0.982637,0.145572,5,31,0,-0.114173,1.07669,0.126936,-0.814408,0.34608,1.19809,-0.0392911,0.670628,0.169882
-15.7518,0.910723,0.208055,4,15,0,0.0530908,1.25607,-1.01791,0.684911,0.606529,-1.3692,0.245046,-0.443346,1.08727
-15.7518,0.465969,0.259534,3,7,0,0.0530908,1.25607,-1.01791,0.684911,0.606529,-1.3692,0.245046,-0.443346,1.08727
-17.7696,0.962339,0.142494,4,15,0,-0.248761,1.07485,-0.387142,0.446574,0.882278,-2.12662,0.285504,-0.285409,1.44011
-19.2608,0.945735,0.195315,4,15,0,-0.130431,1.15778,-0.850404,0.749178,2.03043,-1.05888,-0.456036,-1.94342,0.139467
-21.4973,0.914473,0.259029,4,15,0,0.471542,1.04313,-1.83161,0.638869,2.3294,-0.634833,-0.0354754,-1.8025,0.100953
# Adaptation terminated
# Step size = 0.178622
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1

-21.3879,0.658723,0.178622,4,15,0,-0.274438,0.94926,-1.71377,1.23882,1.75076,-0.774983,0.276933,-1.78154,0.106851
-18.2428,1,0.178622,3,7,0,0.450589,0.925078,-1.09699,0.93677,1.00096,-0.69302,0.931571,-1.29801,0.240098
-16.6189,0.915447,0.178622,4,15,0,0.0318059,1.50906,-0.686106,1.00514,1.24921,0.23025,0.654686,-0.478453,0.331768
-16.6106,0.92976,0.178622,5,31,0,-0.339324,1.01629,-0.251497,0.870727,1.2057,-0.570329,0.674606,0.0248955,0.285093
-15.9507,0.998842,0.178622,4,15,0,-0.145388,1.06437,0.414833,-0.268804,0.33428,1.24185,-0.91745,-0.958672,1.26118
-14.3575,0.998951,0.178622,4,15,0,0.342968,1.10892,-0.908357,0.0292575,-0.193873,0.433965,0.40403,0.0267788,0.209279
-15.26,0.992102,0.178622,4,15,0,0.0245059,1.11072,-0.0758978,1.59687,-0.420991,0.444612,1.2146,0.216878,0.491212
-15.6242,0.894675,0.178622,4,15,0,-0.00417462,1.07056,0.109615,1.75332,-0.127659,-0.865581,0.738854,0.22439,1.01331
-14.9568,0.939403,0.178622,4,15,0,0.065556,1.03017,-0.332073,0.264827,-0.459445,1.45431,-0.7009,-0.89762,0.552523
-16.5507,0.923801,0.178622,4,15,0,0.343852,1.2693,-1.84127,-0.871743,0.344273,0.954005,0.328558,0.160666,0.280001
-16.1551,0.986972,0.178622,4,15,0,-0.127601,1.2924,0.590986,0.607571,0.839712,0.323697,-1.06908,-1.36443,0.316668
-17.5895,0.955788,0.178622,4,15,0,-0.117912,1.25336,-0.143607,1.35584,0.314324,0.691419,1.56736,1.13461,0.0930902
-19.9784,0.942447,0.178622,4,15,0,0.360294,1.19449,0.803554,2.25292,-0.353194,1.54231,1.24273,1.48814,0.180039
-18.7362,0.970382,0.178622,4,15,0,-0.255037,1.10806,-0.821421,-2.35127,0.419287,-0.758319,-1.48328,-0.14968,0.285998
-19.1304,0.766565,0.178622,5,31,0,0.357561,1.58882,-1.33512,-1.44723,-0.492366,-0.225942,0.267452,-1.69908,0.833859
-15.9922,0.912575,0.178622,4,15,0,0.381824,1.26712,-0.0232802,-1.87368,0.146368,-0.601407,0.171393,-0.559264,0.54014
-20.1743,0.943038,0.178622,4,15,0,0.376077,1.43304,0.390219,0.265803,2.96032,-0.06355,-0.548283,-0.665145,1.37689
-18.1233,0.756403,0.178622,4,15,0,-0.0264294,0.882581,0.68211,-0.418978,2.14084,-0.993004,-0.829687,-0.990336,0.616777
-19.8308,0.9909,0.178622,4,15,0,-0.0696199,1.12135,2.04892,0.354068,-1.66237,-1.7614,1.09303,1.3367,0.603201
-15.5209,0.973409,0.178622,4,15,0,0.343167,1.0861,-0.211942,-1.07146,1.44295,0.229782,0.837157,0.181421,0.416815
-21.0692,0.859668,0.178622,4,15,0,0.307595,1.38216,-0.584449,1.37563,2.70435,-0.513736,-0.8778,1.64558,0.212064
-16.63,0.986262,0.178622,5,31,0,0.4874,1.05835,-0.578213,-0.16063,0.148479,1.36353,-1.39257,0.136936,0.892099
-16.1995,0.980256,0.178622,4,15,0,0.525621,1.17268,0.759314,0.240297,0.513592,0.667745,1.35984,0.645904,0.548324
-17.9364,0.92189,0.178622,5,31,0,-0.468417,1.14962,-1.62874,0.812723,-0.122795,-0.362121,0.536091,1.0711,0.475176
-18.717,0.890552,0.178622,4,15,0,-0.36499,1.28514,-0.0370355,-0.774262,-1.99879,-0.540894,1.3672,0.0946753,1.23337
-26.0806,0.953336,0.178622,4,15,0,-0.178045,1.07065,1.95757,-1.96974,-2.80873,2.23314,1.07166,-0.99235,0.0741302
-19.1904,0.979903,0.178622,4,15,0,-0.105055,1.23418,-0.362661,-0.061224,1.71657,-0.358076,0.314296,2.56192,0.112371
-20.3314,0.990203,0.178622,4,15,0,-0.109972,0.986611,0.804753,-0.642257,-2.04224,-0.39019,-0.148516,-2.79375,0.314151
-22.7859,0.711143,0.178622,3,7,0,-0.399692,1.27144,0.79013,-0.934273,-2.25354,-0.396567,-0.441902,-2.9548,0.44255
-20.4144,0.901641,0.178622,4,15,0,-0.427197,1.34025,0.207682,1.15394,-1.44439,-2.04073,-0.727633,1.05494,0.146545
-24.3247,0.930549,0.178622,4,15,0,0.641385,1.11722,-0.102826,1.39501,-1.52338,-3.3907,0.134398,0.877944,0.112872
-20.6663,0.907563,0.178622,4,15,0,-0.295116,0.861919,-0.375531,1.16914,-1.42924,-2.08331,0.0905591,0.46225,0.208345
-23.6697,0.375757,0.178622,5,31,0,-0.83801,1.41897,0.686601,0.0338184,0.638957,1.83433,0.208037,-1.61309,2.07324
-19.6679,0.953255,0.178622,5,31,0,-0.243799,1.00403,-0.602674,-0.157592,-0.614857,-1.97742,-0.235676,1.61138,0.0355888
-18.3924,0.969625,0.178622,5,31,0,0.209845,0.964401,0.486594,0.419979,0.596236,2.0309,-0.719181,-1.09309,0.0368935
-16.4315,0.941904,0.178622,5,31,0,0.0443761,0.937405,0.0390289,-0.967118,-0.863798,1.13271,-1.33511,0.614523,0.18034
-16.4729,0.990355,0.178622,5,31,0,0.0741774,0.915239,-0.115455,0.929972,0.685343,-0.94008,1.2468,-1.06288,1.07099
-16.6038,0.991466,0.178622,5,31,0,0.0445943,1.35043,-0.487351,-0.397897,-0.29475,0.91358,0.657071,1.17083,0.0580082
-15.4608,0.980111,0.178622,5,31,0,0.0328539,0.88959,-0.40571,-1.31704,0.233736,0.67571,0.708164,-0.171667,0.349357
-15.3006,0.867687,0.178622,5,31,0,-0.0448621,1.37166,-0.213214,0.423514,-0.353788,0.239297,0.896108,-0.876947,1.02607
-17.0992,0.944112,0.178622,4,15,0,-0.504719,1.12596,0.746736,0.0360831,0.800812,-0.701175,0.688012,-0.159238,0.771133
-17.3574,0.889503,0.178622,4,15,0,0.592376,1.38688,-1.37059,-0.927527,-0.101009,-0.888057,0.722842,0.12877,0.293253
-17.3574,0.547123,0.178622,3,7,0,0.592376,1.38688,-1.37059,-0.927527,-0.101009,-0.888057,0.722842,0.12877,0.293253
-18.4564,0.98336,0.178622,4,15,0,0.594552,1.35037,-1.69619,-0.729849,-0.0612763,-1.03913,1.4207,0.360109,0.664638
-16.4358,0.976887,0.178622,4,15,0,-0.0201587,1.43508,-1.09895,-0.758324,0.250917,0.188151,1.3016,0.066874,0.185022
-18.5254,0.958033,0.178622,4,15,0,-0.0356347,0.87454,1.8852,0.165678,1.28559,1.51315,0.409975,-0.562174,0.921852
-19.4159,0.794869,0.178622,4,15,0,0.370438,1.77191,1.11842,0.858444,-0.0156472,-0.835705,-0.495032,1.62611,0.638965
-18.6704,0.957998,0.178622,5,31,0,0.271281,1.66842,1.22134,0.825176,0.229057,-0.935029,-0.336363,1.58316,0.648902
-20.7407,0.981214,0.178622,4,15,0,0.479544,0.951269,1.05447,-0.692669,-0.0556932,-1.97561,-1.80102,0.980032,1.53511
-24.485,0.140243,0.178622,4,15,0,-0.749159,1.6687,0.247017,0.0895771,-0.518185,-2.39039,-1.58348,0.969756,1.90146
-17.9118,0.889539,0.178622,3,7,0,-0.237471,1.25577,0.860305,-0.433889,-0.538122,-2.05524,-1.11272,0.488242,1.0795
-14.6516,0.931577,0.178622,4,15,0,0.193792,0.908449,0.348907,-0.176561,0.0208072,-0.961966,0.101026,0.64021,0.774763
-14.7319,0.99466,0.178622,5,31,0,0.295513,1.35901,-0.603564,-0.0413596,-0.188112,0.75287,0.393883,-0.121784,0.268496
-14.8234,0.990005,0.178622,4,15,0,0.154028,1.23494,-0.0485577,0.146891,1.40235,0.167476,0.806025,0.360842,0.276365
-17.6458,0.983928,0.178622,4,15,0,0.0786008,1.28996,-0.498829,1.57457,1.50882,1.16531,0.994183,0.611103,0.203544
-16.2287,0.972313,0.178622,4,15,0,0.161204,1.27687,0.8798,-0.289254,-1.41703,0.039539,-0.0132189,1.08332,0.105569
-17.6523,0.948913,0.178622,5,31,0,0.0574165,0.889072,-0.673355,-0.11755,0.965087,-0.726459,1.12761,-1.63462,1.43345
-16.5124,0.996031,0.178622,4,15,0,0.134586,0.879798,-0.386081,-0.469218,-1.79154,-0.181578,0.194619,0.808215,0.185202
-16.4223,0.964989,0.178622,4,15,0,0.0736732,1.0046,0.882327,0.966327,0.941898,0.361768,1.20417,-1.14716,0.138843
-19.0138,0.845239,0.178622,4,15,0,0.292249,1.33633,2.11346,-0.104908,-1.27256,-0.159127,-0.679419,-1.65835,0.160997
-19.1016,0.98895,0.178622,5,31,0,0.244727,1.38298,-2.1462,0.202218,1.24348,0.16493,0.757346,1.64807,0.200414
-16.8258,0.995086,0.178622,4,15,0,0.0858688,1.18258,0.37497,0.393339,0.383223,2.26933,0.0417297,-1.15313,0.220716
-16.2088,0.935575,0.178622,5,31,0,0.193551,1.22129,1.16739,0.940761,1.17674,-1.1136,-0.486263,-0.201849,0.185588
-16.756,0.885867,0.178622,5,31,0,0.024424,0.986978,-0.271673,0.040746,1.96856,-0.60178,0.528042,-0.431263,0.0678561
-16.6254,0.657617,0.178622,4,15,0,0.290307,0.948602,-1.18296,-1.34325,-0.253374,0.865667,0.0622564,-0.0430763,0.0962123
-16.3207,1,0.178622,4,15,0,0.192684,1.05324,-0.40864,-0.450019,1.01765,1.15968,-0.0438345,-1.5034,0.109162
-17.0052,0.946725,0.178622,5,31,0,0.143354,1.25456,0.118716,-0.631588,-1.49232,-0.777941,0.896015,0.316216,0.040761
-16.8137,0.927955,0.178622,4,15,0,0.0808877,0.856415,0.252255,-0.637859,-1.15009,-0.247757,0.550266,0.351159,0.0507433
-17.7026,1,0.178622,4,15,0,0.0343802,0.877474,-1.7587,0.120361,-0.716227,0.420726,-0.580867,0.214175,0.0427719
-19.5888,0.591504,0.178622,4,15,0,0.232855,0.817042,0.999746,-1.62926,-1.16817,-0.402807,0.108142,-1.09515,1.73729
